Index,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
347650,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,FEDERAL GDPG FUND - FY,Speech Language Pathologst,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,TITLE VI-IDEA B-MAIN,NaN,PROFESSIONAL-INSTRUCTIONAL,251.86,SPECIAL EDUCATION-S/L,NaN,SPECIAL EDUCATION
347759,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,NaN,GENERAL EDUCATION,LOCAL,COUNSELOR,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,"33,916.61",NaN,NaN,NaN
348144,Professional Development,ISPD,Shared Services,Non-School,Special Education,Occupational Therapist,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TIF GRANT,ARRA - STIMULUS,Occupational Therapist,n/a,NaN,NaN,ASSESSMENT & RESEARCH,NaN,TEACHER INCENTIVE FUND (TIF),NaN,PROFESSIONAL-INSTRUCTIONAL,242.34,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
348255,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,MILL LEVY,"Teacher, Elementary",Regular,NaN,NaN,NaN,0.043027,ALL DAY KINDERGARTEN,NaN,PROFESSIONAL-INSTRUCTIONAL,"3,006.38",GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
348377,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,HIGH SCHOOL GENERAL ED PROGRAM 9-12,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,139.20,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,NaN
348715,Food Services,O&M,Shared Services,Non-School,Unspecified,Sec/Clerk/Other Admin,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Child Nutrition,"CLERICAL, FOOD SERVICE ADMN.",NaN,Undistributed,Extra Duty Pay/Overtime For Support Personnel,Undistributed,NaN,Food Services (Child Nutrition Fund Only),Child Nutrition,LARGE HS MGR,684.96,Undistributed,National School Breakfast And Lunch Program,ADDL REGULAR PAY-NOT SMOOTHED
348928,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12Operating,RENTALS,NaN,NaN,NaN,NaN,NaN,NaN,School,NaN,GUIDANCE SERVICES,NaN,NaN,775.41,NaN,GENERAL FUND,SCHOOL OPERATING ACCOUNT
349032,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Social Worker,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"2,672.59",SOCIAL WORK SERVICES,NaN,STUDENTS
349071,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,"Title,Part A Improving Basic Programs","TEACHER, BILINGUAL EDUCATION",NaN,NaN,Extended Week,School,NaN,Instruction,Instruction And Curriculum,TEACHER BACHELOR,NaN,"Title I, Part A Schoolwide Activities Related...",Title;Part A Improving Basic Programs,MISCELLANEOUS
349185,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Salaries And Wages For Substitute Professionals,NaN,Operations,TEACHER SUBSTITUTE POOL,NaN,NaN,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,98.56,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
349647,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ALL OTHER SUPPLEMENTS,NaN,NaN,"TEACHER, SCIENCE-MIDDLE",NaN,NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,651.72,NaN,GENERAL FUND,NaN
350207,Library & Media,Instruction,School on Central Budgets,Non-School,Unspecified,Librarian,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,LEVY OVERRIDE,Library Tech I,n/a,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,437.95,INFORMATION SYSTEMS SERVICES,NaN,CENTRAL
350363,Security & Safety,O&M,Leadership & Management,Non-School,Unspecified,School Monitor/Security,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,NaN,SECURITY SERVICES,LOCAL,SECURITY ASSISTANT,NaN,NaN,NaN,SECURITY,1,NaN,NaN,NaN,"55,291.84",NaN,NaN,NaN
350480,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12Operating,EDUCATIONAL,GENERAL EDUCATION,LOCAL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,SUPPLIES AND MATERIALS,"27,324.41",INSTRUCTIONAL PROGRAMS,LOCAL FUND,NaN
350511,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,ContractedServices,NO_LABEL,PreK-12Operating,OTHER PURCHASED SERVICES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,NaN,NaN,INSTRUCTION,NaN,NaN,326.08,Misc,General Fund,NaN
350655,Utilities,O&M,Shared Services,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12Operating,TELEPHONE/FACSIMILE SERVICES,BUDGET OFFICE,GENERAL FUND,(blank),n/a,NaN,NaN,BUDGETARY SERVICES,NaN,NON-PROJECT,NaN,UNDESIGNATED,758.38,BUDGETING SERVICES,NaN,BUSINESS
350866,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Contracted Food Services,NaN,Community Services,NaN,NaN,NaN,Contracted Craft Or Trade Services *,NaN,NaN,Other Community Services *,NaN,NaN,"-2,295.87",NaN,Title I - Disadvantaged Children/Targeted Assi...,TITLE I PI+HOMELESS
351181,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Coordinator/Manager,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,MILD MODERATE,GENERAL FUND,"Manager, MAST",n/a,NaN,NaN,SPECIAL EDUCATION,-0.002369,SPECIAL ED. - MILD/MODERATE,NaN,ADMINISTRATOR,-221.17,SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
351286,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,SCHOOL NURSE SERVICES,GENERAL FUND,Nurse,n/a,NaN,NaN,SCHOOL NURSE SERVICES,0.300008,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"22,250.01",NURSING SERVICES,NaN,STUDENTS
351312,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Benefits,NO_LABEL,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,FEDERAL GDPG FUND - FY,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,TITLE I,NaN,PROFESSIONAL-INSTRUCTIONAL,504.09,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
351561,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,SCHOOL NURSE SERVICES,GENERAL FUND,Licensed Practical Nurse,n/a,NaN,NaN,SCHOOL NURSE SERVICES,NaN,NON-PROJECT,NaN,PROFESSIONAL-OTHER,"3,835.12",NURSING SERVICES,NaN,STUDENTS
352037,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Salaries And Wages For Substitute Professionals,NaN,Operations,TEACHER SUBSTITUTE POOL,NaN,NaN,Salaries And Wages For Substitute Teachers,School,NaN,Instruction,All Campus Payroll,NON DEGREED SUBSTITUTE,87.02,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
352590,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NonPreK,PreK-12Operating,Group Health And Life Insurance,NaN,Operations,NaN,NaN,Basic Educational Services - District Objective,Group Health And Life Insurance,Undistributed,NaN,Instruction,Campus Overtime,TEACHER MASTER,329.79,Basic Educational Services,General Operating Fund,EMPLOYER MEDICAL FRINGE
352989,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Personal Services - Education Assistants,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,230.85,Instruction - Regular,General Purpose School,NaN
353314,School Administration,Leadership,School on Central Budgets,Non-School,Alternative,Non-Position,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,District Wide Resources,0,NaN,NaN,TIME CARD CERTIFIEDAddl,819.75,Instruction - Regular,General Purpose School,NaN
353515,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Substitute,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries Or Wages For Support Personnel,NaN,Operations,"CLERICAL, TEMPORARY",NaN,NaN,Temporary / Part-Time Support Personnel,Undistributed,NaN,Community Services,Public Relations Department,CERTIFIED SUBSTITUTE,215.40,Undistributed,General Operating Fund,MISCELLANEOUS
353963,Curriculum Development,ISPD,Leadership & Management,Non-School,ELL,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,"TEACHER, BILINGUAL EDUCATION",NaN,NaN,Extra Duty Wages,Unallocated,NaN,Curriculum Development And Instructional Staff...,Multilingual Department,TEACHER BACHELOR,600.14,Bilingual Education And Special Language Programs,General Operating Fund,CURRICULUM WRITING
354068,Aides Compensation,Instruction,School Reported,School,ELL,TA,BaseSalary/Compensation,PreK,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,NaN,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education,Regular,NaN,NaN,NaN,NaN,ELPA - PRESCHOOL PROG,NaN,PARAPROFESSIONAL,231.67,EARLY CHILDHOOD,NaN,REGULAR INSTRUCTION
354516,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,PAYROLL,GENERAL FUND,Payroll Technician III,n/a,NaN,NaN,PAYROLL,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,"3,923.43",STAFF SERVICES,NaN,CENTRAL
355232,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,NaN,GENERAL FUND,"Teacher, Elementary",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,23.85,GENERAL ELEMENTARY EDUCATION,NaN,REGULAR INSTRUCTION
356102,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Spec Ed Asst, Mild/Moderate",Regular,NaN,NaN,NaN,NaN,SPECIAL ED. - MILD/MODERATE,NaN,PARAPROFESSIONAL,"3,307.93",SPECIAL EDUCATION-CONVERSION,NaN,SPECIAL EDUCATION
356599,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Contracted Food Services,NaN,Community Services,NaN,NaN,NaN,Contracted Craft Or Trade Services *,NaN,NaN,Other Community Services *,NaN,NaN,-776.61,NaN,Title I - Disadvantaged Children/Targeted Assi...,PARENT INVOLVEMENT
356674,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,"Manager, Human Resources",n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,ADMINISTRATOR,504.78,STAFF SERVICES,NaN,CENTRAL
356962,Substitute Compensation,Instruction,School Reported,School,Alternative,Substitute,SubstituteCompensation,NonPreK,PreK-12Operating,Personal Services - Education Assistants,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,NaN,0,NaN,NaN,SUBSTITUTE TEACHER,57.53,Instruction - Regular,General Purpose School,NaN
356972,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,WORKSHOP PARTICIPANT,NaN,NaN,ESE SCHOOL SPECIALIST,NaN,NaN,NaN,ESE,NaN,INST STAFF TRAINING SVCS,NaN,NaN,302.76,NaN,FED THRU STATE-CASH ADVANCE,IDEA PART B
357393,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,"Supt, Instructional",n/a,NaN,NaN,MS TEAM,0.089583,NON-PROJECT,NaN,ADMINISTRATOR,"11,468.58",SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
357431,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Alternative,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,14.40,GENERAL HIGH SCHOOL EDUCATION,NaN,REGULAR INSTRUCTION
357635,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub",Regular,NaN,NaN,NaN,NaN,UNALLOC BUDGETS/SCHOOLS,NaN,PROFESSIONAL-INSTRUCTIONAL,2.98,GENERAL MIDDLE/JUNIOR HIGH SCH,NaN,REGULAR INSTRUCTION
357724,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Psychologist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,ARRA - STIMULUS,Psychologist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,IDEA ARRA,NaN,PROFESSIONAL-INSTRUCTIONAL,668.95,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
357754,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,ContractedServices,NonPreK,PreK-12Operating,Purchased Services,NaN,Support Services - Instructional Staff,NaN,NaN,NaN,Purchased Services,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,"40,397.91",NaN,Special Trust,CC/OH SKILL BANK
357910,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Physical Therapist,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Physical Therapist,NaN,NaN,NaN,NaN,0.2,NaN,NaN,PHYSICAL THERAPIST,NaN,SPECIAL EDUCATION CATEGORY V,General Fund,NaN
357967,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Club Advisor/Coach,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ATHLETICS,PUPIL ACTIVITY FUND,Asst Coach,n/a,NaN,NaN,ATHLETICS & STUDENT ACTIVITIES,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"3,525.07",MALE ATHLETICS/SPORTS ACTIVITI,NaN,COCURRICULAR ED/ACTIVITIES
358067,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Other,BaseSalary/Compensation,NonPreK,PreK-12Operating,Personal Services - Secretaries,NaN,NaN,NaN,NaN,Board of Education,NaN,NaN,0,NaN,NaN,TIME CARDS,"2,412.59",District Administration,General Purpose School,NaN
359245,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,SALARIES FOR OVERTIME,TRANSPORTATION,GENERAL FUND,Bus Driver,n/a,NaN,NaN,GARAGE,NaN,NON-PROJECT,NaN,"CRAFTS, TRADES, AND SERVICES",11.86,TRANSPORTATION-OPERATIONS,NaN,STUDENT TRANSPORTATION
359578,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12Operating,RETIREMENT CONTRIB.,NaN,GENERAL FUND,Hour Bus Driver,n/a,NaN,NaN,GARAGE,NaN,EMPLOYEE RETIREMENT,NaN,UNDESIGNATED,402.07,EMPLOYEE BENEFITS,NaN,EMPLOYEE BENEFITS
360065,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12Operating,SUPPLIES,NaN,TITLE VIB FLOWTHRU ARRA OF,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,PUPIL SERVICES,NaN,NaN,596.66,"ARRA - IDEA Title VI,B Flow Thru funds",Special Education,NaN
361158,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,NaN,GENERAL FUND,Nurse,Regular,NaN,NaN,NaN,0.189502,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,"8,474.88",NURSING SERVICES,NaN,STUDENTS
361268,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,OtherNon-Compensation,NO_LABEL,PreK-12Operating,PURCHASED FOOD,NaN,SCHOOL NUTRITION SERVICE,NaN,NaN,NaN,NaN,NaN,NaN,SCHOOL NUTRITION,NaN,NaN,"9,577.98",Misc,School Nutrition Service Fund,NaN
361551,Human Resources,Business Services,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,PERSONNEL SERVICES,LEVY OVERRIDE,Computer Lab Technician,n/a,NaN,NaN,HUMAN RESOURCES,NaN,NON-PROJECT,NaN,PARAPROFESSIONAL,79.46,STAFF SERVICES,NaN,CENTRAL
361749,Human Resources,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel&Conferences,NO_LABEL,PreK-12Operating,TRAVEL - EMPLOYEES,NaN,MISCELLANEOUS,NaN,NaN,NaN,NaN,ADMIN. SERVICES,NaN,SUPPORT SERVICES-CENTRAL,NaN,NaN,47.31,Misc,General Fund,NaN
362058,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,NaN,MANAGEMENT,LOCAL,REGIONAL SUPERINTENDENT,NaN,NaN,NaN,INSTRUCTIONAL SUPERINTENDENTS,1,NaN,NaN,NaN,"163,062.00",NaN,NaN,NaN
362232,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Psychologist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,STUDENT SERVICES CHARTER SCHOO,GENERAL FUND,Psychologist,n/a,NaN,NaN,PSYCHOLOGICAL SERVICES,NaN,STUDENT SERVICES/CHARTER SCHLS,NaN,PROFESSIONAL-INSTRUCTIONAL,122.56,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
362786,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,Occupational Therapist,n/a,NaN,NaN,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION - ITINERANT,NaN,PROFESSIONAL-INSTRUCTIONAL,184.58,SPECIAL EDUCATION-OT,NaN,SPECIAL EDUCATION
362808,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Psychologist,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,Psychologist,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,PROFESSIONAL-INSTRUCTIONAL,939.82,PSYCHOLOGICAL SERVICES,NaN,STUDENTS
363271,Physical Health & Services,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF REGULAR EMPLOYEES,MEDICAID,DISTRICT SPECIAL REVENUE FUNDS,Office Support II,n/a,NaN,NaN,NaN,0.594182,MEDICAID CONSORTIUM STAFF BUDG,NaN,OFFICE/ADMINISTRATIVE SUPPORT,"24,626.45",OTHER FISCAL SERVICES,NaN,BUSINESS
363549,Other Compensation,Instruction,Shared Services,Non-School,Unspecified,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Salaries And Wages For Teachers And Other Prof...,NaN,Operations,TO BE TERMINATED,NaN,Basic Educational Services - District Objective,Salaries And Wages For Teachers And Other Prof...,Undistributed,NaN,Instruction,Campus Overtime,TEACHER BACHELOR,790.53,Basic Educational Services,General Operating Fund,SICK PAY NOT SMOOTHED
363843,Teacher Compensation,Instruction,School Reported,School,Alternative,Teacher,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Personal Services - Teachers,NaN,NaN,NaN,NaN,Alternative Schools Instruction,NaN,NaN,0,NaN,NaN,TIME CARD CERTIFIEDAddl,349.73,Instruction - Regular,General Purpose School,NaN
364767,Facilities & Maintenance,O&M,School on Central Budgets,Non-School,Unspecified,Other,BaseSalary/Compensation,NonPreK,PreK-12Operating,Salaries Or Wages For Support Personnel,NaN,Operations,MAINTENANCE WORKERS,NaN,NaN,Salaries Or Wages For Support Personnel,Undistributed,1,Facilities Maintenance And Operations,Maintenance Department Administration,TECHNICIAN DAYS,"44,536.46",Undistributed,General Operating Fund,REGULAR PAY
364857,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,NaN,Community Services,NaN,NaN,NaN,Certificated Employees Salaries And Wages,NaN,NaN,Non-Public School Services *,NaN,NaN,"-10,077.15",NaN,Title I - Disadvantaged Children/Targeted Assi...,TITLE I CARRYOVER-PUBLIC
364910,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Operating,SALARIES OF PART TIME EMPLOYEE,NaN,DISTRICT SPECIAL REVENUE FUNDS,Community School Child Care,NaN,NaN,NaN,COMMUNITY EDUCATION,0.041794,CAMPS,NaN,PARAPROFESSIONAL,933.27,COMMUNITY SERVICE,NaN,COMMUNITY SERVICES OPERATION
365197,Security & Safety,NO_LABEL,Shared Services,Non-School,NO_LABEL,Coordinator/Manager,NO_LABEL,NO_LABEL,PreK-12Operating,NaN,NaN,NaN,Risk Manager,NaN,NaN,NaN,ADMIN. SERVICES,1,NaN,NaN,NONE,"93,155.71",Misc,General Fund,NaN
365724,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,GENERAL FUND,"Principal, Asst Elem Sch",Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,ADMINISTRATOR,"4,009.80",SUPPORT SERVICES-SCHOOL ADMIN,NaN,SCHOOL ADMINISTRATION
365834,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12Operating,EMPLOYEE BENEFITS,NaN,DISTRICT SPECIAL REVENUE FUNDS,Project Manager,n/a,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,TEACHING FELLOWS,NaN,PROFESSIONAL-OTHER,"1,319.79",SUPPORT SERVICES-INSTRUCTIONAL,NaN,INSTRUCTIONAL STAFF
366005,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,OtherCompensation/Stipend,NO_LABEL,PreK-12Operating,BONUSES,NaN,NaN,SECRETARY II,NaN,NaN,NaN,GROWTH,NaN,"PLANNING,RES,DEV,& EVAL",NaN,NaN,57.70,NaN,GENERAL FUND,CLASSIFIED CLERICAL BONUS
366027,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,BaseSalary/Compensation,NonPreK,PreK-12Operating,Salaries Or Wages For Support Personnel,NaN,Operations,CUSTODIAN REGULAR,NaN,NaN,Salaries Or Wages For Support Personnel,School,1,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER,"24,646.86",Undistributed,General Operating Fund,REGULAR PAY
366755,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Benefits,NO_LABEL,PreK-12Operating,EMPLOYER PD MED CONTRIBUTION,NaN,GENERAL FUND,Campus Security Officer,Regular,NaN,NaN,NaN,NaN,NON-PROJECT,NaN,OFFICE/ADMINISTRATIVE SUPPORT,461.58,SCHOOL SECURITY,NaN,OPERATION AND MAINT OF PLANT
366826,School Administration,Leadership,School Reported,Non-School,Unspecified,Sec/Clerk/Other Admin,BaseSalary/Compensation,NonPreK,PreK-12Operating,Regular *,CLERICAL,Support Services - Administration,JUNIOR SECRETARY,NaN,NaN,NaN,EN CLASSIFIED SLRY/HRLY/DA,1,Office of the Principal Services*,NaN,NaN,"49,986.03",NaN,General,SCHOOL BASED MANAGEMENT
367408,Aides Compensation,Instruction,School Reported,School,Special Education,TA,BaseSalary/Compensation,NO_LABEL,PreK-12Operating,SALARIES OF PART TIME EMPLOYEE,MILD MODERATE,GENERAL FUND,NaN,Regular,NaN,NaN,NaN,0.015972,SPECIAL ED. - MILD/MODERATE,NaN,PARAPROFESSIONAL,350.08,SPECIAL EDUCATION,NaN,SPECIAL EDUCATION
367459,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,OtherCompensation/Stipend,NonPreK,PreK-12Operating,Extra Duty Pay/Overtime For Support Personnel,NaN,Operations,"TRANSPORTATION,BUS DRIVERS,REG",NaN,Transportation - Bus Drivers,Extra Duty Pay/Overtime For Support Personnel,Undistributed,NaN,Transportation,Transportation Department,BUS DRIVER,18.41,Undistributed,General Operating Fund,OVERTIME
